FID,Forest,Forest_Typ,Deployment,Camera_Mod,Camera_Num,Card_Numbe,Tree_Speci,Orientatio,GPS_Date,POINT_X,POINT_Y
0,Degrasse,Pine,R4,Browning,37,31,hemlock,173,9/27/2019 0:00:00,492262.539231000002474,4912478.936239999718964
1,Degrasse,Pine,R4,Bushnell,1,23,hemlock,352,9/27/2019 0:00:00,491930.749661999987438,4913079.311990000307560
2,Degrasse,Pine,R4,Bushnell,6,5,beech,30,9/27/2019 0:00:00,493493.910474999982398,4912705.579450000077486
3,Degrasse,Pine,R4,Browning,33,38,red maple,235,9/27/2019 0:00:00,493953.119515999977011,4911875.408789999783039
4,Donnerville,Deciduous,R4,Browning,30,17,ash,185,9/17/2019 0:00:00,491801.747060000023339,4919210.027750000357628
5,Donnerville,Deciduous,R4,Bushnell,10,35,red maple,161,9/17/2019 0:00:00,492689.849591000005603,4919253.365159999579191
6,Donnerville,Deciduous,R4,Browning,21,40,red maple,278,9/17/2019 0:00:00,493881.317838000017218,4920118.148880000226200
7,Donnerville,Deciduous,R4,Bushnell,14,25,red maple,244,9/17/2019 0:00:00,492663.690227999992203,4920069.227210000157356
8,Whipoorwill,Pine,R4,Bushnell,7,42,red maple,241,9/27/2019 0:00:00,488917.361886999977287,4916690.522690000012517
9,Whipoorwill,Pine,R4,Browning,32,13,beech,17,9/27/2019 0:00:00,488590.656362999987323,4917389.624130000360310
10,Whipoorwill,Pine,R4,Browning,31,15,eastrn hemlock,21,9/27/2019 0:00:00,487112.009220000007190,4916646.216350000351667
11,Whipoorwill,Pine,R4,Bushnell,17,26,hemlock,233,9/27/2019 0:00:00,488193.956682000018191,4916941.111990000121295
12,Lampson Falls,Pine,R4,Browning,42,16,white pine,166,10/11/2019 0:00:00,494519.005461000022478,4916878.030609999783337
13,Lampson Falls,Deciduous,R4,Browning,39,16,red maple,53,10/11/2019 0:00:00,494717.196938999986742,4917278.197630000300705
14,Lampson Falls,Deciduous,R4,Browning,41,14,catscratch,316,10/11/2019 0:00:00,494457.890728000027593,4917886.804170000366867
15,Lampson Falls,Deciduous,R4,Browning,40,16,yellow birch,263,10/11/2019 0:00:00,494173.740641999989748,4917438.820020000450313
