"","FID","Forest","Forest_Typ","Deployment","Camera_Mod","Camera_Num","Card_Numbe","Tree_Speci","Orientatio","GPS_Date","POINT_X","POINT_Y","SnapUSA_deploy","CamNights","Interval","OutDate","InDate"
"1",0,"Degrasse","Pine","R4","Browning",37,31,"hemlock",173,"9/27/2019 0:00:00",-75.0971084564,44.3655532548,0,0S,2019-01-01 UTC--2019-01-01 UTC,2019-01-01,2019-01-01
"2",1,"Degrasse","Pine","R4","Bushnell",1,23,"hemlock",352,"9/27/2019 0:00:00",-75.1012817789,44.3709547704,0,0S,2019-01-01 UTC--2019-01-01 UTC,2019-01-01,2019-01-01
"3",2,"Degrasse","Pine","R4","Bushnell",6,5,"beech",30,"9/27/2019 0:00:00",-75.0816573919,44.3676057989,0,0S,2019-01-01 UTC--2019-01-01 UTC,2019-01-01,2019-01-01
"4",3,"Degrasse","Pine","R4","Browning",33,38,"red maple",235,"9/27/2019 0:00:00",-75.075884396,44.3601358073,0,0S,2019-01-01 UTC--2019-01-01 UTC,2019-01-01,2019-01-01
"5",4,"Donnerville","Deciduous","R4","Browning",30,17,"ash",185,"9/17/2019 0:00:00",-75.1029977113,44.4261473368,0,0S,2019-01-01 UTC--2019-01-01 UTC,2019-01-01,2019-01-01
"6",5,"Donnerville","Deciduous","R4","Bushnell",10,35,"red maple",161,"9/17/2019 0:00:00",-75.0918409934,44.4265470121,0,0S,2019-01-01 UTC--2019-01-01 UTC,2019-01-01,2019-01-01
"7",6,"Donnerville","Deciduous","R4","Browning",21,40,"red maple",278,"9/17/2019 0:00:00",-75.0768825463,44.4343435614,0,0S,2019-01-01 UTC--2019-01-01 UTC,2019-01-01,2019-01-01
"8",7,"Donnerville","Deciduous","R4","Bushnell",14,25,"red maple",244,"9/17/2019 0:00:00",-75.092181183,44.4338918058,1,46d 0H 0M 0S,2019-09-27 UTC--2019-11-12 UTC,2019-09-27,2019-11-12
"9",8,"Whipoorwill","Pine","R4","Bushnell",7,42,"red maple",241,"9/27/2019 0:00:00",-75.139180701,44.4034262401,2,46d 0H 0M 0S,2019-09-27 UTC--2019-11-12 UTC,2019-09-27,2019-11-12
"10",9,"Whipoorwill","Pine","R4","Browning",32,13,"beech",17,"9/27/2019 0:00:00",-75.1432989073,44.4097150653,3,46d 0H 0M 0S,2019-09-27 UTC--2019-11-12 UTC,2019-09-27,2019-11-12
"11",10,"Whipoorwill","Pine","R4","Browning",31,15,"eastrn hemlock",21,"9/27/2019 0:00:00",-75.1618516099,44.402997481,4,46d 0H 0M 0S,2019-09-27 UTC--2019-11-12 UTC,2019-09-27,2019-11-12
"12",11,"Whipoorwill","Pine","R4","Bushnell",17,26,"hemlock",233,"9/27/2019 0:00:00",-75.1482710825,44.4056708246,0,0S,2019-01-01 UTC--2019-01-01 UTC,2019-01-01,2019-01-01
"13",12,"Lampson Falls","Pine","R4","Browning",42,16,"white pine",166,"10/11/2019 0:00:00",-75.0688358478,44.4051784052,0,0S,2019-01-01 UTC--2019-01-01 UTC,2019-01-01,2019-01-01
"14",13,"Lampson Falls","Deciduous","R4","Browning",39,16,"red maple",53,"10/11/2019 0:00:00",-75.0663509071,44.4087825264,0,0S,2019-01-01 UTC--2019-01-01 UTC,2019-01-01,2019-01-01
"15",14,"Lampson Falls","Deciduous","R4","Browning",41,14,"catscratch",316,"10/11/2019 0:00:00",-75.0696141368,44.4142597836,0,0S,2019-01-01 UTC--2019-01-01 UTC,2019-01-01,2019-01-01
"16",15,"Lampson Falls","Deciduous","R4","Browning",40,16,"yellow birch",263,"10/11/2019 0:00:00",-75.0731781945,44.4102244177,0,0S,2019-01-01 UTC--2019-01-01 UTC,2019-01-01,2019-01-01
